family,layer,band,band_label,theta,theta_cum,theta_attn,theta_ffn,delta_pr,abs_delta_pr
Qwen2.5-7B,18,band3_creative,Creative,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,0.4239986179800521,0.4239986179800521
Qwen2.5-7B,19,band3_creative,Creative,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,0.2537750640617169,0.2537750640617169
Qwen2.5-7B,20,band3_creative,Creative,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,0.19240042300395643,0.19240042300395643
Qwen2.5-7B,21,band3_creative,Creative,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.32768822825111776,0.32768822825111776
Qwen2.5-7B,22,band3_creative,Creative,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.3541293554669602,0.3541293554669602
Qwen2.5-7B,23,band3_creative,Creative,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.3644414871189907,0.3644414871189907
Qwen2.5-7B,24,band3_creative,Creative,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.26294561041988107,0.26294561041988107
Qwen2.5-7B,25,band3_creative,Creative,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.1947142422164312,0.1947142422164312
Qwen2.5-7B,26,band3_creative,Creative,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.11874472295898819,0.11874472295898819
Qwen2.5-7B,27,band3_creative,Creative,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,-0.032943522031889216,0.032943522031889216
Qwen2.5-7B,0,band4_code,Code / Logic,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.06730811590575891,0.06730811590575891
Qwen2.5-7B,1,band4_code,Code / Logic,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.0012501393675869998,0.0012501393675869998
Qwen2.5-7B,2,band4_code,Code / Logic,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.03230639446948613,0.03230639446948613
Qwen2.5-7B,3,band4_code,Code / Logic,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.13097484461747122,0.13097484461747122
Qwen2.5-7B,4,band4_code,Code / Logic,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.14462291181009146,0.14462291181009146
Qwen2.5-7B,5,band4_code,Code / Logic,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.16481335627002913,0.16481335627002913
Qwen2.5-7B,6,band4_code,Code / Logic,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.32450077920412657,0.32450077920412657
Qwen2.5-7B,7,band4_code,Code / Logic,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.31313716679232506,0.31313716679232506
Qwen2.5-7B,8,band4_code,Code / Logic,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.321236046885212,0.321236046885212
Qwen2.5-7B,9,band4_code,Code / Logic,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,0.3808746136510317,0.3808746136510317
Qwen2.5-7B,10,band4_code,Code / Logic,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,0.3688680926549308,0.3688680926549308
Qwen2.5-7B,11,band4_code,Code / Logic,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.5089269385226789,0.5089269385226789
Qwen2.5-7B,12,band4_code,Code / Logic,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.6906658861657755,0.6906658861657755
Qwen2.5-7B,13,band4_code,Code / Logic,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.7619686311377114,0.7619686311377114
Qwen2.5-7B,14,band4_code,Code / Logic,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.8082043344858256,0.8082043344858256
Qwen2.5-7B,15,band4_code,Code / Logic,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.8992042540621652,0.8992042540621652
Qwen2.5-7B,16,band4_code,Code / Logic,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.7641952562330463,0.7641952562330463
